stimulusnumbers,correct_answer,targettype,blocktype
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
1,1,nontarget,trial
2,1,nontarget,trial
4,1,nontarget,trial
5,1,nontarget,trial
6,1,nontarget,trial
7,1,nontarget,trial
8,1,nontarget,trial
9,1,nontarget,trial
3,,target,trial
3,,target,trial
